Target,RA,DEC,Sp. Type,T_eff [K],V [mag],G [mag],Data product plots,Pre-upgrade DRS,Post-upgrade DRS,Pre-upgrade standard SERVAL,Post-upgrade standard SERVAL,Pre-upgrade mlc SERVAL (use these),Post-upgrade mlc SERVAL(use these),RA_deg,DEC_deg
CD-301812,04:25:29.0168,-30:36:01.610,F5,6632.0,10.0,10.0,CD-301812_plots.pdf,CD-301812_harps_pre-drs.vels,CD-301812_harps_post-drs.vels,CD-301812_harps_pre-serval.vels,CD-301812_harps_post-serval.vels,CD-301812_harps_pre_serval-mlc.vels,CD-301812_harps_post_serval-mlc.vels,66.37090333333333,-30.600447222222222
CD-3019757,23:58:14.7745,-29:36:29.986,,6273.0,10.8,10.6,CD-3019757_plots.pdf,CD-3019757_harps_pre-drs.vels,,CD-3019757_harps_pre-serval.vels,,CD-3019757_harps_pre_serval-mlc.vels,,359.5615604166666,-29.608329444444447
CD-306011,08:18:19.1770,-30:32:58.429,G5,4810.1,10.9,10.4,CD-306011_plots.pdf,CD-306011_harps_pre-drs.vels,,CD-306011_harps_pre-serval.vels,,CD-306011_harps_pre_serval-mlc.vels,,124.57990416666667,-30.54956361111111
CD-306015,08:18:26.4379,-30:39:30.376,,4777.4,11.1,10.8,CD-306015_plots.pdf,CD-306015_harps_pre-drs.vels,,CD-306015_harps_pre-serval.vels,,CD-306015_harps_pre_serval-mlc.vels,,124.61015791666668,-30.658437777777777
CD-3112522,16:04:30.5581,-32:07:28.670,K2e,,10.8,10.5,CD-3112522_plots.pdf,,,,,,,241.12732541666665,-32.124630555555555
CD-312415,05:23:25.2029,-31:16:34.982,,4780.3,10.5,10.3,CD-312415_plots.pdf,,CD-312415_harps_post-drs.vels,,CD-312415_harps_post-serval.vels,,CD-312415_harps_post_serval-mlc.vels,80.85501208333332,-31.276383888888887
CD-329927,14:11:46.3240,-33:03:14.379,A4,7337.3,10.4,10.4,CD-329927_plots.pdf,CD-329927_harps_pre-drs.vels,,CD-329927_harps_pre-serval.vels,,CD-329927_harps_pre_serval-mlc.vels,,212.94301666666664,-33.05399416666666
CD-332771,06:10:16.4804,-33:21:20.892,K5III+K5V,3998.8,9.9,9.2,CD-332771_plots.pdf,CD-332771_harps_pre-drs.vels,,CD-332771_harps_pre-serval.vels,,CD-332771_harps_pre_serval-mlc.vels,,92.56866833333333,-33.355803333333334
CD-348618,13:04:10.5340,-35:32:58.321,,7074.9,10.5,10.6,CD-348618_plots.pdf,,CD-348618_harps_post-drs.vels,,CD-348618_harps_post-serval.vels,,CD-348618_harps_post_serval-mlc.vels,196.04389166666664,-35.54953361111111
CD-381059,03:12:27.3492,-38:06:05.169,G5,5723.0,9.9,9.8,CD-381059_plots.pdf,CD-381059_harps_pre-drs.vels,,CD-381059_harps_pre-serval.vels,,CD-381059_harps_pre_serval-mlc.vels,,48.113955,-38.10143583333333
CD-383745,07:51:56.0037,-38:36:50.469,,4944.0,10.9,10.6,CD-383745_plots.pdf,CD-383745_harps_pre-drs.vels,,CD-383745_harps_pre-serval.vels,,CD-383745_harps_pre_serval-mlc.vels,,117.98334874999999,-38.614019166666665
CD-383754,07:52:17.8469,-38:33:24.911,G8II,4547.5,10.8,10.4,CD-383754_plots.pdf,CD-383754_harps_pre-drs.vels,,CD-383754_harps_pre-serval.vels,,CD-383754_harps_pre_serval-mlc.vels,,118.07436208333333,-38.55691972222222
CD-395833,09:47:19.8551,-40:03:09.843,K0V,5351.8,10.9,10.5,CD-395833_plots.pdf,CD-395833_harps_pre-drs.vels,,CD-395833_harps_pre-serval.vels,,CD-395833_harps_pre_serval-mlc.vels,,146.8327295833333,-40.05273416666667
CD-452997,07:11:29.0424,-46:11:55.604,,5345.0,10.7,10.5,CD-452997_plots.pdf,CD-452997_harps_pre-drs.vels,,CD-452997_harps_pre-serval.vels,,CD-452997_harps_pre_serval-mlc.vels,,107.87100999999998,-46.19877888888889
CD-461064,03:30:49.1011,-45:55:57.364,K3V,4700.9,9.6,9.4,CD-461064_plots.pdf,CD-461064_harps_pre-drs.vels,CD-461064_harps_post-drs.vels,CD-461064_harps_pre-serval.vels,CD-461064_harps_post-serval.vels,CD-461064_harps_pre_serval-mlc.vels,CD-461064_harps_post_serval-mlc.vels,52.70458791666666,-45.93260111111111
CD-4911401,17:24:41.5352,-49:59:06.472,,4726.6,10.4,10.0,CD-4911401_plots.pdf,CD-4911401_harps_pre-drs.vels,,CD-4911401_harps_pre-serval.vels,,CD-4911401_harps_pre_serval-mlc.vels,,261.1730633333333,-49.98513111111111
CD-4911402,17:24:46.7175,-49:54:06.990,,4777.4,10.9,10.6,CD-4911402_plots.pdf,CD-4911402_harps_pre-drs.vels,,CD-4911402_harps_pre-serval.vels,,CD-4911402_harps_pre_serval-mlc.vels,,261.1946562499999,-49.901941666666666
CD-4911404,17:24:50.0711,-49:56:56.080,,4619.2,10.7,10.5,CD-4911404_plots.pdf,CD-4911404_harps_pre-drs.vels,CD-4911404_harps_post-drs.vels,CD-4911404_harps_pre-serval.vels,CD-4911404_harps_post-serval.vels,CD-4911404_harps_pre_serval-mlc.vels,CD-4911404_harps_post_serval-mlc.vels,261.2086295833333,-49.94891111111111
CD-4911410,17:24:57.7598,-50:01:32.957,,4759.3,10.8,10.4,CD-4911410_plots.pdf,CD-4911410_harps_pre-drs.vels,,CD-4911410_harps_pre-serval.vels,,CD-4911410_harps_pre_serval-mlc.vels,,261.2406658333333,-50.025821388888886
CD-4911415,17:24:54.1499,-49:53:07.523,,4492.2,10.4,10.0,CD-4911415_plots.pdf,CD-4911415_harps_pre-drs.vels,,CD-4911415_harps_pre-serval.vels,,CD-4911415_harps_pre_serval-mlc.vels,,261.2256245833333,-49.885423055555556
CD-50714,02:27:06.0977,-50:17:04.312,,5990.1,10.1,10.0,CD-50714_plots.pdf,CD-50714_harps_pre-drs.vels,,CD-50714_harps_pre-serval.vels,,CD-50714_harps_pre_serval-mlc.vels,,36.775407083333334,-50.28453111111111
CD-52381,01:52:14.6258,-52:19:33.185,K2V(e),4890.6,11.0,10.6,CD-52381_plots.pdf,CD-52381_harps_pre-drs.vels,,CD-52381_harps_pre-serval.vels,,CD-52381_harps_pre_serval-mlc.vels,,28.06094083333333,-52.32588472222223
CD-535815,15:02:54.1050,-54:12:51.496,,,9.7,9.3,CD-535815_plots.pdf,CD-535815_harps_pre-drs.vels,,CD-535815_harps_pre-serval.vels,,CD-535815_harps_pre_serval-mlc.vels,,225.72543749999997,-54.214304444444444
CD-535820,15:03:15.8334,-54:16:39.163,,4581.1,9.7,9.3,CD-535820_plots.pdf,CD-535820_harps_pre-drs.vels,,CD-535820_harps_pre-serval.vels,,CD-535820_harps_pre_serval-mlc.vels,,225.8159725,-54.277545277777776
CD-535829,15:03:50.0102,-54:14:30.308,,4851.9,10.3,10.0,CD-535829_plots.pdf,CD-535829_harps_pre-drs.vels,CD-535829_harps_post-drs.vels,CD-535829_harps_pre-serval.vels,CD-535829_harps_post-serval.vels,CD-535829_harps_pre_serval-mlc.vels,CD-535829_harps_post_serval-mlc.vels,225.95837583333332,-54.241752222222225
CD-536474,16:12:56.9037,-54:13:13.514,K2Ib,4100.0,8.8,8.1,CD-536474_plots.pdf,CD-536474_harps_pre-drs.vels,,CD-536474_harps_pre-serval.vels,,CD-536474_harps_pre_serval-mlc.vels,,243.23709874999994,-54.220420555555556
CD-546002,15:04:30.5179,-54:35:48.844,,4817.1,10.5,10.2,CD-546002_plots.pdf,CD-546002_harps_pre-drs.vels,,CD-546002_harps_pre-serval.vels,,CD-546002_harps_pre_serval-mlc.vels,,226.12715791666662,-54.596901111111116
CD-546003,15:04:30.3795,-54:31:44.812,,4348.2,9.5,9.0,CD-546003_plots.pdf,CD-546003_harps_pre-drs.vels,,CD-546003_harps_pre-serval.vels,,CD-546003_harps_pre_serval-mlc.vels,,226.12658124999996,-54.529114444444446
CD-567708,19:25:58.5351,-56:33:36.499,G5V+DA1.0,5509.5,10.6,10.4,CD-567708_plots.pdf,CD-567708_harps_pre-drs.vels,,CD-567708_harps_pre-serval.vels,,CD-567708_harps_pre_serval-mlc.vels,,291.49389625,-56.56013861111111
CD-584411,12:09:41.8591,-58:54:45.066,K1Ve,3825.5,10.1,10.0,CD-584411_plots.pdf,CD-584411_harps_pre-drs.vels,,CD-584411_harps_pre-serval.vels,,CD-584411_harps_pre_serval-mlc.vels,,182.42441291666665,-58.91251833333333
CD-60370,01:54:31.1977,-59:30:34.727,,5727.0,10.6,10.5,CD-60370_plots.pdf,CD-60370_harps_pre-drs.vels,,CD-60370_harps_pre-serval.vels,,CD-60370_harps_pre_serval-mlc.vels,,28.62999041666666,-59.50964638888889
CD-692101,23:31:00.7880,-69:05:10.840,K3V,4797.0,9.0,8.8,CD-692101_plots.pdf,CD-692101_harps_pre-drs.vels,CD-692101_harps_post-drs.vels,CD-692101_harps_pre-serval.vels,CD-692101_harps_post-serval.vels,CD-692101_harps_pre_serval-mlc.vels,CD-692101_harps_post_serval-mlc.vels,352.7532833333333,-69.08634444444444
CD-711579,19:55:30.9169,-71:15:40.502,,6058.9,10.2,10.0,CD-711579_plots.pdf,CD-711579_harps_pre-drs.vels,,CD-711579_harps_pre-serval.vels,,CD-711579_harps_pre_serval-mlc.vels,,298.8788204166666,-71.26125055555555
CD-8028,01:05:38.2160,-80:03:40.695,K2,5126.9,10.2,9.9,CD-8028_plots.pdf,CD-8028_harps_pre-drs.vels,,CD-8028_harps_pre-serval.vels,,CD-8028_harps_pre_serval-mlc.vels,,16.40923333333333,-80.06130416666666
CD-8480,07:30:59.4435,-84:19:27.687,G9V,5151.0,10.0,9.7,CD-8480_plots.pdf,CD-8480_harps_pre-drs.vels,,CD-8480_harps_pre-serval.vels,,CD-8480_harps_pre_serval-mlc.vels,,112.74768124999999,-84.32435749999999
CPD-536243,15:04:39.4239,-54:21:04.102,,4773.2,10.4,10.1,,CPD-536243_harps_pre-drs.vels,CPD-536243_harps_post-drs.vels,CPD-536243_harps_pre-serval.vels,CPD-536243_harps_post-serval.vels,CPD-536243_harps_pre_serval-mlc.vels,CPD-536243_harps_post_serval-mlc.vels,226.16426624999997,-54.35113944444445
CoRoT-7,06:43:49.4690,-01:03:46.825,K0V,5101.2,11.7,11.5,,CoRoT-7_harps_pre-drs.vels,,CoRoT-7_harps_pre-serval.vels,,CoRoT-7_harps_pre_serval-mlc.vels,,100.95612083333332,-1.0630069444444445
CoRoT102296945,06:09:33.1533,+04:41:12.323,G8III,4689.8,,13.1,,CoRoT102296945_harps_pre-drs.vels,,CoRoT102296945_harps_pre-serval.vels,,CoRoT102296945_harps_pre_serval-mlc.vels,,92.38813874999998,4.686756388888889
EPIC210558622,04:03:10.2791,+16:20:50.761,,4430.4,,12.0,EPIC210558622_plots.pdf,,EPIC210558622_harps_post-drs.vels,,EPIC210558622_harps_post-serval.vels,,EPIC210558622_harps_post_serval-mlc.vels,60.79282958333332,16.34743361111111
EPIC219409830,19:13:43.3439,-16:49:11.054,,5418.7,,12.3,EPIC219409830_plots.pdf,EPIC219409830_harps_pre-drs.vels,EPIC219409830_harps_post-drs.vels,EPIC219409830_harps_pre-serval.vels,EPIC219409830_harps_post-serval.vels,EPIC219409830_harps_pre_serval-mlc.vels,EPIC219409830_harps_post_serval-mlc.vels,288.4305995833333,-16.819737222222223
EPIC219503117,19:16:59.4110,-16:35:27.120,,5441.3,,12.4,EPIC219503117_plots.pdf,EPIC219503117_harps_pre-drs.vels,,EPIC219503117_harps_pre-serval.vels,,EPIC219503117_harps_pre_serval-mlc.vels,,289.2475458333333,-16.590866666666667
EPIC219661601,19:13:41.2691,-16:10:20.171,,,,11.8,EPIC219661601_plots.pdf,EPIC219661601_harps_pre-drs.vels,,EPIC219661601_harps_pre-serval.vels,,EPIC219661601_harps_pre_serval-mlc.vels,,288.4219545833333,-16.172269722222225
EPIC219722212,19:15:21.4166,-16:00:10.691,,5140.2,,12.8,EPIC219722212_plots.pdf,EPIC219722212_harps_pre-drs.vels,EPIC219722212_harps_post-drs.vels,EPIC219722212_harps_pre-serval.vels,EPIC219722212_harps_post-serval.vels,EPIC219722212_harps_pre_serval-mlc.vels,EPIC219722212_harps_post_serval-mlc.vels,288.8392358333333,-16.002969722222222
GJ1001,00:04:36.4374,-40:44:02.887,M4V,,12.8,11.5,GJ1001_plots.pdf,GJ1001_harps_pre-drs.vels,,GJ1001_harps_pre-serval.vels,,GJ1001_harps_pre_serval-mlc.vels,,1.1518224999999997,-40.73413527777778
GJ1002,00:06:43.1972,-07:32:17.024,M5.5V,,13.8,11.8,GJ1002_plots.pdf,GJ1002_harps_pre-drs.vels,,GJ1002_harps_pre-serval.vels,,GJ1002_harps_pre_serval-mlc.vels,,1.6799883333333332,-7.538062222222222
GJ1008,00:19:05.5626,-09:57:53.469,M0V,,9.9,9.3,GJ1008_plots.pdf,GJ1008_harps_pre-drs.vels,,GJ1008_harps_pre-serval.vels,,GJ1008_harps_pre_serval-mlc.vels,,4.773177499999999,-9.9648525
GJ1009,00:21:56.0447,-31:24:21.812,M1.5,3800.0,11.1,10.2,GJ1009_plots.pdf,GJ1009_harps_pre-drs.vels,,GJ1009_harps_pre-serval.vels,,GJ1009_harps_pre_serval-mlc.vels,,5.483519583333332,-31.406058888888886
GJ1012,00:28:39.4645,-06:39:49.181,M4.18,,12.2,10.9,GJ1012_plots.pdf,GJ1012_harps_pre-drs.vels,,GJ1012_harps_pre-serval.vels,,GJ1012_harps_pre_serval-mlc.vels,,7.164435416666666,-6.663661388888889
GJ1020,00:45:28.6874,-12:52:50.911,G0V,5842.5,6.2,6.0,GJ1020_plots.pdf,GJ1020_harps_pre-drs.vels,,GJ1020_harps_pre-serval.vels,,GJ1020_harps_pre_serval-mlc.vels,,11.369530833333332,-12.880808611111112
GJ1021,00:45:45.5929,-47:33:07.146,G3V,5895.5,5.8,5.6,GJ1021_plots.pdf,GJ1021_harps_pre-drs.vels,,GJ1021_harps_pre-serval.vels,,GJ1021_harps_pre_serval-mlc.vels,,11.439970416666664,-47.551984999999995
GJ1022,00:49:29.0600,-61:02:32.763,M3e,,12.2,11.2,GJ1022_plots.pdf,GJ1022_harps_pre-drs.vels,,GJ1022_harps_pre-serval.vels,,GJ1022_harps_pre_serval-mlc.vels,,12.371083333333333,-61.042434166666666
GJ1032,01:09:12.5019,-24:41:20.916,M3,,12.2,11.1,GJ1032_plots.pdf,GJ1032_harps_pre-drs.vels,,GJ1032_harps_pre-serval.vels,,GJ1032_harps_pre_serval-mlc.vels,,17.302091249999997,-24.689143333333334
GJ1043,02:12:48.0856,+21:12:39.577,F5V,6410.0,5.2,5.1,GJ1043_plots.pdf,GJ1043_harps_pre-drs.vels,,GJ1043_harps_pre-serval.vels,,GJ1043_harps_pre_serval-mlc.vels,,33.200356666666664,21.21099361111111
GJ1044,02:13:12.1646,-21:11:47.237,K7V,,9.8,9.3,GJ1044_plots.pdf,GJ1044_harps_pre-drs.vels,GJ1044_harps_post-drs.vels,GJ1044_harps_pre-serval.vels,GJ1044_harps_post-serval.vels,GJ1044_harps_pre_serval-mlc.vels,GJ1044_harps_post_serval-mlc.vels,33.30068583333333,-21.19645472222222
GJ1046,02:19:10.0761,-36:46:41.180,M2.5+V,,11.6,10.5,GJ1046_plots.pdf,,GJ1046_harps_post-drs.vels,,GJ1046_harps_post-serval.vels,,GJ1046_harps_post_serval-mlc.vels,34.79198374999999,-36.778105555555555
GJ1048,02:36:00.7756,-23:31:16.766,K3.5Vk:,4715.1,8.3,8.0,GJ1048_plots.pdf,GJ1048_harps_pre-drs.vels,,GJ1048_harps_pre-serval.vels,,GJ1048_harps_pre_serval-mlc.vels,,39.003231666666665,-23.521323888888887
GJ1050,02:39:50.7113,-34:07:57.562,M3,,11.7,10.7,GJ1050_plots.pdf,GJ1050_harps_pre-drs.vels,,GJ1050_harps_pre-serval.vels,,GJ1050_harps_pre_serval-mlc.vels,,39.96129708333333,-34.13265611111111
GJ1056,03:08:22.4330,-60:10:21.177,K5Vk:,4366.4,9.3,8.8,GJ1056_plots.pdf,GJ1056_harps_pre-drs.vels,GJ1056_harps_post-drs.vels,GJ1056_harps_pre-serval.vels,GJ1056_harps_post-serval.vels,GJ1056_harps_pre_serval-mlc.vels,GJ1056_harps_post_serval-mlc.vels,47.09347083333333,-60.17254916666666
GJ1057,03:13:22.9175,+04:46:29.343,M4.5Ve,,14.0,12.1,GJ1057_plots.pdf,GJ1057_harps_pre-drs.vels,,GJ1057_harps_pre-serval.vels,,GJ1057_harps_pre_serval-mlc.vels,,48.345489583333325,4.7748175
GJ105,02:36:04.9023,+06:53:12.431,K3V,,5.8,5.5,,GJ105_harps_pre-drs.vels,,GJ105_harps_pre-serval.vels,,GJ105_harps_pre_serval-mlc.vels,,39.02042625,6.886786388888888
GJ1061,03:35:59.6996,-44:30:45.725,M5.5V,,13.1,11.0,GJ1061_plots.pdf,GJ1061_harps_pre-drs.vels,GJ1061_harps_post-drs.vels,GJ1061_harps_pre-serval.vels,GJ1061_harps_post-serval.vels,GJ1061_harps_pre_serval-mlc.vels,GJ1061_harps_post_serval-mlc.vels,53.99874833333333,-44.512701388888885
GJ1065,03:50:44.2892,-06:05:41.629,M3V,,12.8,11.5,GJ1065_plots.pdf,GJ1065_harps_pre-drs.vels,,GJ1065_harps_pre-serval.vels,,GJ1065_harps_pre_serval-mlc.vels,,57.68453833333333,-6.094896944444444
GJ1066,03:56:36.3803,-41:20:36.849,K6Vk:,4274.9,8.8,8.4,GJ1066_plots.pdf,GJ1066_harps_pre-drs.vels,GJ1066_harps_post-drs.vels,GJ1066_harps_pre-serval.vels,GJ1066_harps_post-serval.vels,GJ1066_harps_pre_serval-mlc.vels,GJ1066_harps_post_serval-mlc.vels,59.151584583333324,-41.34356916666667
GJ1068,04:10:28.1233,-53:36:08.138,M4.5,,13.6,11.9,GJ1068_plots.pdf,GJ1068_harps_pre-drs.vels,,GJ1068_harps_pre-serval.vels,,GJ1068_harps_pre_serval-mlc.vels,,62.61718041666666,-53.60226055555556
GJ1075,05:05:47.3723,-57:33:13.797,K7Vk,3968.5,8.9,8.3,GJ1075_plots.pdf,GJ1075_harps_pre-drs.vels,,GJ1075_harps_pre-serval.vels,,GJ1075_harps_pre_serval-mlc.vels,,76.44738458333332,-57.5538325
GJ1079,05:26:14.7381,-32:30:17.136,K2/3V,,7.7,7.4,GJ1079_plots.pdf,GJ1079_harps_pre-drs.vels,GJ1079_harps_post-drs.vels,GJ1079_harps_pre-serval.vels,GJ1079_harps_post-serval.vels,GJ1079_harps_pre_serval-mlc.vels,GJ1079_harps_post_serval-mlc.vels,81.56140874999998,-32.50476
GJ1084,05:47:18.2146,-48:31:30.503,K7.0,,9.7,9.1,GJ1084_plots.pdf,GJ1084_harps_pre-drs.vels,GJ1084_harps_post-drs.vels,GJ1084_harps_pre-serval.vels,GJ1084_harps_post-serval.vels,GJ1084_harps_pre_serval-mlc.vels,GJ1084_harps_post_serval-mlc.vels,86.82589416666666,-48.52513972222222
GJ1085,05:48:34.9401,-04:05:40.719,G2V,5717.0,6.0,5.8,,GJ1085_harps_pre-drs.vels,GJ1085_harps_post-drs.vels,GJ1085_harps_pre-serval.vels,GJ1085_harps_post-serval.vels,GJ1085_harps_pre_serval-mlc.vels,GJ1085_harps_post_serval-mlc.vels,87.14558374999999,-4.094644166666666
GJ1089,06:31:18.3318,-51:49:33.446,F8VFe-0.4,6156.0,5.6,5.4,GJ1089_plots.pdf,GJ1089_harps_pre-drs.vels,,GJ1089_harps_pre-serval.vels,,GJ1089_harps_pre_serval-mlc.vels,,97.82638249999998,-51.82595722222223
